lat,lon,heading_deg,bearing_deg,range_ft,target_lat,target_lon,airspeed_fps,groundspeed_fps,theta_deg,phi_deg,gps_altitude_ft,baro_altitude_ft,bat_voltage_V,sound_bit
37.904396,-97.106712,0,227.7,37347.69,37.827131,-97.191524,30,30,2,0,40000,40000,16,0
37.904405,-97.106712,359.71,227.69,37350.08,37.827131,-97.191524,30,30,2,-0.08,39999.9,39999.9,16,0
37.904507,-97.106722,350.53,227.65,37376.55,37.827131,-97.191524,30,30,1.91,-11.46,39995.9,39995.9,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
37.90452,-97.106725,347.52,227.65,37379.43,37.827131,-97.191524,30,30,1.09,-9.91,39995.29,39995.29,16,0
